,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
197,Chad2015,108.4,37.86,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3
198,Chile2015,41.5,78.6,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6
199,China2015,76.5,66.26,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2
200,Colombia2015,82.5,77.81,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5
201,Comoros2015,83.3,48.73,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8
202,Costa Rica2015,46.8,80.98,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3
203,Cote d'Ivoire2015,100.1,59.89,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7
204,Croatia2015,51,85.21,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4
205,Cuba2015,67.4,78.81,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5
206,Cyprus2015,66.2,79.57,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2
207,Czech Republic2015,37.4,83.78,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6
208,Denmark2015,21.4,88.78,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4
209,Djibouti2015,88,44.27,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4
210,Dominican Republic2015,71.2,76.8,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9
211,Ecuador2015,75.9,68.23,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6
212,Egypt2015,89.9,66.04,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1
213,El Salvador2015,71.4,69.39,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3
214,Equatorial Guinea2015,84.8,70.17,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5
215,Eritrea2015,96.9,36.08,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2
216,Estonia2015,43.7,88.24,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1
217,Ethiopia2015,97.5,45.86,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9
218,Fiji2015,76.7,74.85,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2
219,Finland2015,17.7,90.74,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1
220,France2015,33.7,87.87,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
