,EPI,FSI,country,fragile
297,64.34,62.1,Seychelles2015,0.18712554341241538
298,45.37,91.9,Sierra Leone2015,0.8894125360832783
299,87.64,34.4,Singapore2015,0.08562912331100062
300,86.76,31.5,Slovenia2015,0.05480823057536806
301,46.64,85.9,Solomon Islands2015,0.8539882419159829
302,27.48,114.0,Somalia2015,0.9823896460023834
303,70.75,67.0,South Africa2015,0.2473894287636345
304,71.31,36.3,South Korea2015,0.06624441140114062
305,88.73,40.9,Spain2015,0.09231104878326807
306,66.27,90.7,Sri Lanka2015,0.7223777358420036
307,40.44,110.8,Sudan2015,0.9958173875173294
308,70.07,68.4,Suriname2015,0.2421087834382367
309,60.65,86.2,Swaziland2015,0.7855814531549437
310,89.74,20.2,Sweden2015,0.03539845212449555
311,85.68,22.3,Switzerland2015,0.04565322785134626
312,64.29,107.8,Syria2015,1.751292792102707
313,72.39,83.4,Tajikistan2015,0.5563259669301647
314,57.93,80.8,Tanzania2015,0.5779939321489759
315,68.7,79.1,Thailand2015,0.5006433345908895
316,55.92,90.5,Timor-Leste2015,1.1466882980673638
317,45.86,86.8,Togo2015,0.8653659335229036
318,76.4,58.7,Trinidad and Tobago2015,0.18913778338536816
319,76.83,75.7,Tunisia2015,0.38664092294942554
320,66.25,74.6,Turkey2015,0.40491205588836754
321,71.42,77.4,Turkmenistan2015,0.4362365751884166
322,57.36,97.0,Uganda2015,1.2842115474424969
323,79.01,76.3,Ukraine2015,0.3780994405975545
324,70.89,46.2,United Arab Emirates2015,0.1367508914770264
325,89.33,33.4,United Kingdom2015,0.07169371043326228
326,73.64,36.4,Uruguay2015,0.062076642200444
327,64.88,85.3,Uzbekistan2015,0.6070736166516039
328,77.64,78.7,Venezuela2015,0.4541962123331122
329,48.31,108.2,Yemen2015,0.9861836922067043
330,66.05,85.1,Zambia2015,0.7360327486773642
331,59.46,100.0,Zimbabwe2015,1.541440185884055
332,39.7,106.5,Afghanistan2014,0.9700983346468899
333,72.36,63.6,Albania2014,0.22113381079334518
334,72.09,78.8,Algeria2014,0.45697350675681897
335,50.92,87.4,Angola2014,0.9534279477433076
336,65.81,59.0,Antigua and Barbuda2014,0.17317590200524685
337,79.94,47.3,Argentina2014,0.09873248603122933
338,81.52,71.3,Armenia2014,0.3423686003846722
339,87.71,26.3,Australia2014,0.046490942036385687
340,85.46,28.5,Austria2014,0.05744645637626192
341,83.08,77.8,Azerbaijan2014,0.4454150038302474
342,69.82,64.7,Bahrain2014,0.3063768962319808
343,43.79,92.8,Bangladesh2014,0.9860817850435636
344,56.9,51.4,Barbados2014,0.11567490482948954
345,80.53,75.0,Belarus2014,0.3586840708884392
346,78.97,32.0,Belgium2014,0.05617006567359764
347,74.16,67.0,Belize2014,0.21648605817458205
348,43.72,78.2,Benin2014,0.7894042118776999
349,63.98,80.9,Bhutan2014,0.485256169538861
350,70.78,78.9,Bolivia2014,0.40328520596608264
351,60.82,75.9,Bosnia and Herzegovina2014,0.40333010848699347
352,70.77,64.5,Botswana2014,0.1961387482961296
353,79.87,61.4,Brazil2014,0.1907350997344525
354,65.53,63.6,Brunei Darussalam2014,0.3101152494819821
355,80.77,54.4,Bulgaria2014,0.14412536587408947
356,43.71,89.0,Burkina Faso2014,0.8882474545850153
357,42.37,97.1,Burundi2014,0.9642863334015662
358,51.24,88.5,Cambodia2014,0.9466392733294271
359,57.15,93.1,Cameroon2014,0.9170979725048758
360,84.6,27.4,Canada2014,0.05280073381346784
361,51.14,74.1,Cape Verde2014,0.6545714192211702
362,46.54,110.6,Central African Republic2014,1.0131400476628967
363,37.81,108.7,Chad2014,0.986818551776307
364,78.43,42.0,Chile2014,0.07229547181382673
365,66.17,79.0,China2014,0.4756700037987821
366,77.86,83.1,Colombia2014,0.5271737624448223
367,48.77,85.1,Comoros2014,0.8089271980093871
368,81.07,48.5,Costa Rica2014,0.08858189970880921
369,59.79,101.7,Cote d'Ivoire2014,1.4991914813235954
370,82.92,52.9,Croatia2014,0.15886691849045176
371,78.68,70.8,Cuba2014,0.30680459883719435
372,79.78,67.9,Cyprus2014,0.23189421043921915
373,83.49,39.4,Czech Republic2014,0.07782735972810013
374,88.29,22.8,Denmark2014,0.039635472601574726
375,40.25,87.1,Djibouti2014,0.9326736901947376
376,76.69,73.4,Dominican Republic2014,0.34041279697181054
377,68.47,77.3,Ecuador2014,0.40132429934035657
378,65.98,91.0,Egypt2014,0.7495754686554928
379,69.71,72.0,El Salvador2014,0.3058592657208805
380,70.47,85.3,Equatorial Guinea2014,0.5358747105102548
381,35.07,95.5,Eritrea2014,0.9367698177249213
382,88.27,45.2,Estonia2014,0.1132563898328394
383,45.71,97.9,Ethiopia2014,0.968850265926228
384,74.66,79.0,Fiji2014,0.43261531101448386
385,90.72,18.7,Finland2014,0.031825902153333877
386,87.65,34.8,France2014,0.07362001196059133
387,68.05,72.2,Gabon2014,0.3083568835295192
388,64.16,82.7,Georgia2014,0.5208188063077578
389,84.11,30.6,Germany2014,0.061587784133755596
390,58.75,70.7,Ghana2014,0.28620788189087204
391,84.55,52.1,Greece2014,0.11844182477032512
392,62.46,65.2,Grenada2014,0.20957710547357306
393,70.04,80.3,Guatemala2014,0.4644000062421201
394,55.16,102.7,Guinea2014,1.7817726165430954
395,70.62,71.0,Guyana2014,0.28211596910622877
396,43.39,104.3,Haiti2014,0.9289404185683652
397,69.53,77.9,Honduras2014,0.3827191000590629
398,82.12,48.3,Hungary2014,0.12420645097226511
399,90.32,25.9,Iceland2014,0.03362870828433306
400,55.0,76.9,India2014,0.8677368634679312
401,65.61,76.8,Indonesia2014,0.4008176643128894
402,64.82,87.2,Iran2014,0.6353212468615044
403,61.54,102.2,Iraq2014,1.2514173946418328
404,87.9,26.1,Ireland2014,0.03855111336491382
405,84.63,43.4,Italy2014,0.10674126289955725
406,77.09,64.9,Jamaica2014,0.20139137011445235
407,81.4,36.3,Japan2014,0.06314716181532028
408,70.25,76.7,Jordan2014,0.41691883117189055
409,72.94,68.5,Kazakhstan2014,0.297758862741264
410,62.28,99.0,Kenya2014,1.4421018742219192
411,63.02,59.0,Kuwait2014,0.23725560564375936
412,72.88,83.9,Kyrgyz Republic2014,0.5343758201045766
413,49.71,84.3,Laos2014,0.9363622348091573
414,86.03,48.0,Latvia2014,0.11965046741590943
415,66.49,86.9,Lebanon2014,0.6179001042626643
416,45.38,78.6,Lesotho2014,0.7858075909599549
417,43.58,94.3,Liberia2014,0.9211928195063727
418,62.69,87.8,Libya2014,0.6046595891928569
419,84.3,43.2,Lithuania2014,0.08384035098820014
420,86.34,24.6,Luxembourg2014,0.0493921383180981
421,74.71,66.4,Macedonia2014,0.26812838174356596
422,36.58,83.1,Madagascar2014,0.8322922553052629
423,49.35,89.1,Malawi2014,0.8523323953181605
424,76.59,66.2,Malaysia2014,0.29423904575537113
425,56.91,75.4,Maldives2014,0.38261794637322655
426,41.26,89.8,Mali2014,0.8451384364425808
427,89.76,43.0,Malta2014,0.10613727420512745
428,45.96,93.0,Mauritania2014,0.9586254057787905
429,71.23,46.1,Mauritius2014,0.08387838139944745
430,73.8,71.1,Mexico2014,0.2776909070200739
431,75.05,75.1,Moldova2014,0.35373077282078225
432,67.37,58.1,Mongolia2014,0.12580190848725356
433,75.94,55.7,Montenegro2014,0.17152039371118608
434,73.59,74.4,Morocco2014,0.3752476321079007
435,41.68,85.9,Mozambique2014,0.8239991063108993
436,49.01,94.3,Myanmar2014,1.080016579247873
437,71.21,71.5,Namibia2014,0.278818864956533
438,50.78,91.0,Nepal2014,0.9999558641604251
439,80.77,28.6,Netherlands2014,0.050253663990272084
440,89.87,24.1,New Zealand2014,0.0376013256391126
441,64.58,78.4,Nicaragua2014,0.39885354302598797
442,37.01,97.9,Niger2014,0.942327045768749
443,57.87,99.7,Nigeria2014,1.238392566378603
