Rank,Country,EPI.2017,EPI.2016,EPI.2015,EPI.2014,EPI.2013,EPI.2012,EPI.2011,EPI.2010,EPI.2009,EPI.2008,EPI.2007
162,Sierra Leone,57.47,45.98,45.37,45.2,42.92,42.6,41.88,41.88,40.48,40.38,40.23
14,Singapore,49.52,87.04,87.64,87.67,89.69,90,89.8,89.88,90.78,91.05,90.94
24,Slovakia,57.49,85.42,83.69,82.89,82.7,83.31,83.57,83.3,81.82,81.69,81.44
5,Slovenia,66.02,88.98,86.76,86.53,84.59,86.16,86.31,86.34,83,83.26,83.26
158,Solomon Islands,42.54,46.92,46.64,46.53,44.12,44.24,44.26,44.33,43.18,41.86,42.03
180,Somalia,64.23,27.66,27.48,27.54,25.65,26.05,26.16,26.47,27.09,27,27.42
81,South Africa,70.6,70.52,70.75,69.54,67.82,68.03,67.96,68.31,68.52,68.44,68.29
80,South Korea,67.57,70.61,71.31,71.25,70.71,70.9,70.79,70.73,70.83,70.98,70.7
6,Spain,43.22,88.91,88.73,88.63,87.4,87.81,87.6,87.44,86.15,86.03,85.94
108,Sri Lanka,44.73,65.55,66.27,66.09,64.8,64.78,64.18,64.6,64.14,64.43,64.78
170,Sudan,62.3,42.25,40.44,42.03,41.1,41.43,41.35,40.89,39.4,40.38,40.22
96,Suriname,78.39,68.58,70.07,70.13,69.84,70.62,70.18,70.75,66.91,67.17,67.13
124,Swaziland,60.61,60.63,60.65,60.7,59.51,59.72,59.5,59.55,59.13,59.03,58.88
3,Sweden,51.49,90.43,89.74,89.46,88.86,89.36,89.24,89.09,88.3,88.63,88.79
16,Switzerland,54.2,86.93,85.68,86.72,87.39,87.78,87.25,86.96,84.45,83.79,84.31
101,Syria,40.32,66.91,64.29,63.32,62.34,63.2,62.89,63.25,65.96,66.24,66.39
60,Taiwan,80.51,74.88,72.58,70.98,71.12,71.22,69.99,69.83,69.8,68.64,68.24
72,Tajikistan,87.42,73.05,72.39,72.59,71.7,71.85,72.23,72.6,72.92,73.37,73.26
