,country,FSI,EPI,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1
186,Botswana2015,62.8,70.22,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6
187,Brazil2015,62.7,69.32,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7
188,Brunei Darussalam2015,63,69.16,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1
189,Bulgaria2015,55.4,69.53,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8
190,Burkina Faso2015,89.2,63.28,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5
191,Burundi2015,98,61.44,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4
192,Cambodia2015,87.9,60.82,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4
193,Cameroon2015,94.3,59.79,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7
194,Canada2015,25.6,60.67,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1
195,Cape Verde2015,73.5,61.32,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1
196,Central African Republic2015,111.9,60.87,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8
197,Chad2015,108.4,56.86,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3
198,Chile2015,41.5,56.41,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6
199,China2015,76.5,56.49,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2
200,Colombia2015,82.5,70.72,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5
201,Comoros2015,83.3,70.84,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8
202,Costa Rica2015,46.8,70.77,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3
203,Cote d'Ivoire2015,100.1,69.54,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7
204,Croatia2015,51,69.74,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4
205,Cuba2015,67.4,69.67,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5
206,Cyprus2015,66.2,70.06,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2
207,Czech Republic2015,37.4,68.97,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6
208,Denmark2015,21.4,68.58,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4
209,Djibouti2015,88,67.67,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4
210,Dominican Republic2015,71.2,78.9,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9
211,Ecuador2015,75.9,80.11,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6
212,Egypt2015,89.9,79.87,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1
213,El Salvador2015,71.4,79.28,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3
214,Equatorial Guinea2015,84.8,79.29,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5
215,Eritrea2015,96.9,79.05,7.7,8.1,6.1,8.3,7.2,7.6,9.1,8.7,9.3,8.8,7.8,8.2
216,Estonia2015,43.7,79.04,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1
217,Ethiopia2015,97.5,79.56,8.4,8.6,8.5,6.9,7.1,7,7.4,8.6,8.5,9.2,9.4,7.9
218,Fiji2015,76.7,79.63,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2
219,Finland2015,17.7,79.44,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1
220,France2015,33.7,67.86,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
