,country,FSI,EPI,DP,EI,Economy,FE,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL
124,Sri Lanka,86.6,60.61,6.2,6.3,5.4,8.8,242.08,11417.25228,9,7.7,8.3,62710,5.1,21.203,338.1119439,1.124060307,8.4,7.4,65.9,6.9
125,Sudan,110.6,51.49,9.3,9.7,8.5,9.7,173.607,4386.360304,10,8.9,9.6,2376000,8.9,39.578828,22.68897306,2.380439887,9.8,9,49.9,9.8
126,Suriname,65.9,54.2,5.3,5.9,7.1,5.8,7.749023291,13877.98601,5.8,6.8,4.6,156000,5.6,0.558368,3.579282051,0.928418221,3,4.9,70.4,5
127,Swaziland,88.8,40.32,9.4,7.1,9.7,6.8,10.37360686,7723.64106,3.4,7.2,9.1,17200,8.1,1.343098,78.08709302,1.809667249,4.7,6.3,55,8.8
128,Sweden,22.1,80.51,2,1.1,1.8,1.8,462.1,46662.05263,1.5,1.5,1.1,407310,1.1,9.903122,24.31347622,1.055073996,5.3,2.1,85.6,1
129,Switzerland,21.1,87.42,1.5,1,2.3,1,480.81,57430.04919,3.6,2.1,1.8,39516,1,8.372098,211.866029,1.077221168,2.5,1.1,81.2,1
130,Tajikistan,81.8,47.85,7.9,5.9,7.3,8.4,24.13104856,2762.585453,7.4,6.2,8.2,138786,5.6,8.734951,62.93827187,2.155884123,4.3,6.7,66.8,9.1
131,Tanzania,80.3,50.83,8.7,7.2,6.2,5.7,139.38,2508.088532,5.2,7.6,5.9,885800,8.6,55.572201,62.73673628,3.092454074,6.7,5.5,52.1,5.9
132,Thailand,76.2,49.88,6.4,3.8,3.3,9.4,1079.99,15683.05097,8.5,4.7,8,510890,4.4,68.863514,134.7912741,0.299465512,5.9,9,69.5,7.5
133,Timor-Leste,90.5,49.54,9.7,9.5,7.9,8.3,2.51788156,1984.660767,6.5,7.6,5.3,14870,8.5,1.268671,85.31748487,2.207092325,6.3,7.2,61.5,6.9
134,Togo,83.9,41.78,7.8,6,6.4,7.6,10.51284365,1382.109747,4.6,7.5,6.7,54390,8.2,7.606374,139.848759,2.523861304,6.6,6.5,50.2,7.8
135,Trinidad and Tobago,56.7,67.36,4.5,3.1,4.4,5.6,41.58323861,30464.75917,4.2,8.1,4.1,5130,4.3,1.364962,266.0744639,0.35742449,2.7,6.3,69.1,4.5
136,Tunisia,74.2,62.35,4.2,6.4,6.7,7.8,122.608,10752.02434,7.7,6.1,6.5,155360,4.4,11.403248,73.39886715,1.142910708,4.7,8.3,68.7,6.5
137,Turkey,80.8,52.96,4.9,5.4,4.6,9.1,1888.94,23756.53838,10,3.9,7.7,769630,4.4,79.512426,103.3125346,1.5730117,9.2,8.3,68.5,7.6
138,Turkmenistan,74.4,66.1,5.4,4.1,4.9,7.8,88.60960132,15648.37312,6.6,5.1,8.7,469930,5.6,5.662544,12.0497606,1.732524453,3.5,6.3,56.7,9.7
139,Uganda,96,44.28,9,8.3,5.5,8.6,69.99362951,1687.082736,8.5,7.6,7.8,200520,8.3,41.487965,206.9018801,3.290872381,9.3,7.1,52.9,8.6
140,Ukraine,74,52.87,4.2,8.6,6.8,8,327.215,7270.693947,6.7,5.2,6.2,579290,3.7,45.004645,77.68931796,-0.33138051,4.6,7.6,72.7,8.2
141,United Arab Emirates,43.7,58.9,4,2.4,2.4,3.6,622.297,67133.01484,3.4,2.5,7.8,83600,2.2,9.269612,110.8805263,1.251759052,2.2,3.1,66,6.7
142,United Kingdom,33.2,79.89,2.4,1,3.6,4.5,2574.94,39229.86462,6.4,2.1,1.7,241930,1.6,65.637239,271.3067375,0.777541827,2.1,2.7,78.3,1.5
143,Uruguay,36.8,64.65,3.8,2.7,3.6,2.7,69.04173629,20046.92683,2.5,4.4,2.8,175020,2.9,3.444006,19.6777854,0.362269175,2.5,3.8,71,1
144,Uzbekistan,81.5,45.88,5.6,4.6,6.3,8.8,192.327,6038.865619,7.1,6,9.2,425400,4.9,31.8482,74.86647861,1.739791235,5.5,7.1,71.2,9.5
145,Venezuela,82.9,63.89,5.6,5.4,7.3,8.2,443.8400821,14059.73028,7.2,5.5,8.9,882050,7.7,31.568179,35.78955728,1.31705725,4.6,7.3,65.8,8.5
146,Zambia,87.8,50.97,9.5,7.2,7.9,6.2,60.50817421,3646.962323,5.9,7.9,7.4,743390,7.9,16.59139,22.31855419,3.002815515,6.4,4.6,51.1,7.7
147,Zimbabwe,101.6,43.41,9.1,7.5,8.6,9.8,30.35667456,1879.62812,7.3,7.9,8.2,386850,8.9,16.150362,41.74838309,2.33606955,8.5,8.1,56.1,9.2
