,EPI,country
352,70.77,Botswana2014
353,79.87,Brazil2014
354,65.53,Brunei Darussalam2014
355,80.77,Bulgaria2014
356,43.71,Burkina Faso2014
357,42.37,Burundi2014
358,51.24,Cambodia2014
359,57.15,Cameroon2014
360,84.6,Canada2014
361,51.14,Cape Verde2014
362,46.54,Central African Republic2014
363,37.81,Chad2014
364,78.43,Chile2014
365,66.17,China2014
366,77.86,Colombia2014
367,48.77,Comoros2014
368,81.07,Costa Rica2014
369,59.79,Cote d'Ivoire2014
370,82.92,Croatia2014
371,78.68,Cuba2014
372,79.78,Cyprus2014
373,83.49,Czech Republic2014
374,88.29,Denmark2014
375,40.25,Djibouti2014
376,76.69,Dominican Republic2014
377,68.47,Ecuador2014
378,65.98,Egypt2014
379,69.71,El Salvador2014
380,70.47,Equatorial Guinea2014
381,35.07,Eritrea2014
382,88.27,Estonia2014
383,45.71,Ethiopia2014
384,74.66,Fiji2014
385,90.72,Finland2014
386,87.65,France2014
387,68.05,Gabon2014
388,64.16,Georgia2014
389,84.11,Germany2014
390,58.75,Ghana2014
391,84.55,Greece2014
392,62.46,Grenada2014
393,70.04,Guatemala2014
394,55.16,Guinea2014
395,70.62,Guyana2014
396,43.39,Haiti2014
397,69.53,Honduras2014
398,82.12,Hungary2014
399,90.32,Iceland2014
400,55.0,India2014
401,65.61,Indonesia2014
402,64.82,Iran2014
403,61.54,Iraq2014
404,87.9,Ireland2014
405,84.63,Italy2014
406,77.09,Jamaica2014
407,81.4,Japan2014
408,70.25,Jordan2014
409,72.94,Kazakhstan2014
410,62.28,Kenya2014
411,63.02,Kuwait2014
412,72.88,Kyrgyz Republic2014
413,49.71,Laos2014
414,86.03,Latvia2014
415,66.49,Lebanon2014
416,45.38,Lesotho2014
417,43.58,Liberia2014
418,62.69,Libya2014
419,84.3,Lithuania2014
420,86.34,Luxembourg2014
421,74.71,Macedonia2014
422,36.58,Madagascar2014
423,49.35,Malawi2014
424,76.59,Malaysia2014
425,56.91,Maldives2014
426,41.26,Mali2014
427,89.76,Malta2014
428,45.96,Mauritania2014
429,71.23,Mauritius2014
430,73.8,Mexico2014
431,75.05,Moldova2014
432,67.37,Mongolia2014
433,75.94,Montenegro2014
434,73.59,Morocco2014
435,41.68,Mozambique2014
436,49.01,Myanmar2014
437,71.21,Namibia2014
438,50.78,Nepal2014
439,80.77,Netherlands2014
440,89.87,New Zealand2014
441,64.58,Nicaragua2014
442,37.01,Niger2014
443,57.87,Nigeria2014
444,87.69,Norway2014
445,60.21,Oman2014
446,52.75,Pakistan2014
447,79.18,Panama2014
448,47.65,Papua New Guinea2014
449,70.02,Paraguay2014
450,72.67,Peru2014
451,73.69,Philippines2014
452,78.92,Poland2014
453,88.86,Portugal2014
454,68.97,Qatar2014
455,80.61,Romania2014
456,82.57,Russia2014
457,50.88,Rwanda2014
458,69.63,Samoa2014
459,48.32,Sao Tome and Principe2014
460,70.12,Saudi Arabia2014
461,64.41,Senegal2014
462,75.63,Serbia2014
463,66.78,Seychelles2014
464,45.2,Sierra Leone2014
465,87.67,Singapore2014
466,86.53,Slovenia2014
467,46.53,Solomon Islands2014
468,27.54,Somalia2014
469,69.54,South Africa2014
470,71.25,South Korea2014
471,88.63,Spain2014
472,66.09,Sri Lanka2014
473,42.03,Sudan2014
474,70.13,Suriname2014
475,60.7,Swaziland2014
476,89.46,Sweden2014
477,86.72,Switzerland2014
478,63.32,Syria2014
479,72.59,Tajikistan2014
480,57.45,Tanzania2014
481,69.41,Thailand2014
482,56.02,Timor-Leste2014
483,45.56,Togo2014
484,76.36,Trinidad and Tobago2014
485,77.39,Tunisia2014
486,65.71,Turkey2014
487,71.35,Turkmenistan2014
488,57.5,Uganda2014
489,78.46,Ukraine2014
490,70.67,United Arab Emirates2014
491,88.97,United Kingdom2014
492,74.24,Uruguay2014
493,64.77,Uzbekistan2014
494,77.57,Venezuela2014
495,47.52,Yemen2014
496,65.41,Zambia2014
497,37.98,Afghanistan2013
498,69.85,Albania2013
499,71.26,Algeria2013
500,48.8,Angola2013
501,66.02,Antigua and Barbuda2013
502,79.52,Argentina2013
503,77.93,Armenia2013
504,87.55,Australia2013
505,84.7,Austria2013
506,81.83,Azerbaijan2013
507,68.52,Bahrain2013
508,42.03,Bangladesh2013
509,54.48,Barbados2013
510,79.77,Belarus2013
511,78.5,Belgium2013
512,74.8,Belize2013
513,40.7,Benin2013
514,63.1,Bhutan2013
515,70.4,Bolivia2013
516,59.79,Bosnia and Herzegovina2013
517,69.54,Botswana2013
518,79.28,Brazil2013
519,65.56,Brunei Darussalam2013
520,80.34,Bulgaria2013
521,42.08,Burkina Faso2013
522,40.7,Burundi2013
