,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
181,5.8,4.3,4.1,5.9,6.2,6.5,65.3,5.7,5.8,4.1,5.9,4.1,6.9,Belize2015
182,6.2,6.1,3.9,6.6,7.5,6.8,78.8,6.2,8.6,5.6,8.2,6.0,7.1,Benin2015
183,5.0,7.5,7.9,5.7,6.9,6.8,78.7,5.0,6.6,6.5,6.0,6.9,7.9,Bhutan2015
184,6.6,8.0,6.5,5.4,8.6,6.4,78.1,7.0,6.9,5.9,6.7,3.8,6.2,Bolivia2015
185,6.2,8.7,7.1,5.8,5.6,5.5,77.4,7.0,4.1,5.8,6.1,7.3,8.2,Bosnia and Herzegovina2015
186,3.5,3.3,5.4,6.3,7.7,5.1,62.8,3.8,6.0,4.4,7.5,5.2,4.6,Botswana2015
187,5.9,4.9,5.9,3.9,7.7,4.1,62.7,5.1,5.9,5.8,7.6,3.1,2.7,Brazil2015
188,5.6,7.4,5.9,2.8,7.8,4.6,63.0,8.0,2.2,7.7,4.2,2.7,4.1,Brunei Darussalam2015
189,4.1,5.3,5.2,6.2,4.9,4.6,55.4,5.0,4.2,3.4,4.2,3.5,4.8,Bulgaria2015
190,7.4,7.8,5.0,7.1,8.1,6.9,89.2,8.1,8.9,6.2,9.1,7.1,7.5,Burkina Faso2015
191,7.7,7.9,8.0,8.5,7.7,6.8,98.0,8.4,8.3,8.2,9.2,9.0,8.4,Burundi2015
192,6.7,8.2,7.4,6.4,7.1,7.5,87.9,8.4,7.7,8.3,7.0,5.8,7.4,Cambodia2015
193,7.6,9.1,8.1,6.2,7.8,7.5,94.3,8.4,8.8,8.0,8.0,7.8,7.0,Cameroon2015
194,2.2,2.5,3.9,1.8,3.0,2.2,25.6,0.9,2.0,1.8,2.4,2.0,1.0,Canada2015
195,5.7,5.5,4.0,6.2,7.5,8.6,73.5,5.7,6.5,4.5,7.1,4.1,8.1,Cape Verde2015
196,9.8,10.0,9.6,8.3,9.7,6.9,111.9,9.5,9.9,10.0,8.4,10.0,9.8,Central African Republic2015
197,8.8,9.5,8.2,7.8,9.1,8.6,108.4,9.3,9.7,9.4,9.7,10.0,8.3,Chad2015
198,3.1,1.7,4.1,3.6,5.1,3.2,41.5,3.0,4.5,3.4,5.1,2.1,2.6,Chile2015
199,5.9,7.2,8.3,3.4,7.4,4.6,76.5,8.0,6.2,9.2,7.4,5.6,3.2,China2015
200,7.3,7.6,8.0,3.8,7.5,6.7,82.5,7.1,6.0,7.3,6.9,7.8,6.5,Colombia2015
201,7.2,7.5,5.0,8.0,7.0,7.8,83.3,6.8,8.0,6.1,7.6,4.5,7.8,Comoros2015
202,3.1,3.8,4.7,4.3,5.5,3.5,46.8,2.9,4.5,2.1,4.1,3.9,4.3,Costa Rica2015
203,8.3,9.1,8.7,7.1,7.9,6.7,100.1,8.5,9.0,7.9,8.1,9.0,9.7,Cote d'Ivoire2015
204,4.0,4.4,5.7,5.3,3.8,4.5,51.0,3.4,2.9,4.1,3.6,4.9,4.4,Croatia2015
205,5.7,7.0,4.5,4.5,5.9,5.7,67.4,7.0,4.7,7.3,5.6,4.5,5.0,Cuba2015
206,4.4,7.9,7.0,6.7,6.4,4.5,66.2,5.3,3.0,3.3,4.0,4.5,9.2,Cyprus2015
207,2.6,4.3,3.8,4.8,3.2,2.8,37.4,4.2,3.1,2.1,1.9,2.0,2.6,Czech Republic2015
