,DP,EI,EPI,Economy,FE,FSI,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL,country
29,4.9,2.1,57.49,3.2,2.2,41.1,406.672,22706.73288,3.6,3.8,3.0,743532.0,4.0,17.909754,24.08740175,0.824579726,2.1,3.2,71.6,3.3,Chile
30,6.7,2.7,50.74,4.4,7.2,74.7,19852.0,14399.43714,7.9,4.9,8.5,9388211.0,5.7,1378.665,146.850662,0.541478512,4.9,5.9,67.1,8.6,China
31,6.2,6.0,65.22,4.2,7.6,78.9,638.543,13124.31918,7.3,6.2,7.0,1109500.0,5.9,48.653419,43.85166201,0.876786632,7.7,6.9,64.8,6.3,Colombia
32,3.3,4.1,67.85,4.0,3.8,44.1,74.8092691,15401.4925,4.2,4.1,1.5,51060.0,3.9,4.857274,95.12875049,1.022696047,3.9,3.6,69.8,2.4,Costa Rica
33,8.2,9.2,45.25,6.6,9.1,96.5,81.15293531,3424.76421,8.1,7.3,7.9,318000.0,8.7,23.695919,74.51546855,2.510353568,7.8,7.7,53.3,7.9,Cote d'Ivoire
34,3.1,4.6,65.45,5.3,4.4,50.6,89.86469266,21547.18569,5.8,4.7,3.6,55960.0,2.4,4.1706,74.52823445,-0.788234222,7.0,3.5,76.9,2.9,Croatia
35,5.5,5.1,63.42,4.0,7.0,64.6,239.3704429,20858.38431,4.0,5.2,7.5,104020.0,4.1,11.475982,110.3247645,0.126866978,4.0,5.2,75.5,7.6,Cuba
36,3.5,9.0,72.6,6.0,7.9,62.6,26.68059236,22801.48903,6.3,4.0,3.0,9240.0,2.5,1.170125,126.6369048,0.784179797,5.3,4.4,70.6,4.8,Cyprus
37,1.4,2.7,67.68,4.6,5.0,40.1,331.137,31352.82205,4.8,2.8,2.4,77210.0,2.6,10.561633,136.7909986,0.147567084,3.8,2.6,81.9,4.7,Czech Republic
38,2.0,1.0,81.6,2.0,1.4,21.5,263.438,45966.24952,4.4,1.9,1.5,42262.0,1.0,5.731118,135.6092471,0.834637611,2.1,1.7,84.2,0.9,Denmark
39,8.4,8.7,40.04,7.0,7.3,88.9,3.178944562,3373.483218,6.5,5.4,7.8,23180.0,7.9,0.942333,40.65284728,1.595864748,7.3,6.5,49.6,8.2,Djibouti
40,6.5,5.4,64.71,5.5,6.2,69.0,150.136,14098.87752,5.8,7.1,5.8,48310.0,6.3,10.648791,220.4262265,1.137056669,3.3,5.8,67.2,5.5,Dominican Republic
41,6.5,6.3,57.42,6.0,8.2,77.3,170.802,10424.24725,7.3,5.8,5.0,248360.0,6.5,16.385068,65.97305524,1.479917408,5.7,6.8,69.0,6.5,Ecuador
